Postal Code,Borough,Neighborhood,Postal Latitude,Postal Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Shell,43.80322660320925,-79.19241398073378,Gas Station
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Alvin Curling Public School,43.808683,-79.190103,Elementary School
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Quick Lane Tire & Auto Centre,43.801101,-79.189315,Auto Garage
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Second Cup,43.802164535542744,-79.19611362644378,Coffee Shop
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Dupont Canada,43.805926550874105,-79.19769480042692,Building
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Allied Technical Services,43.80799926036546,-79.1988021573747,Office
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Chester fried express,43.8004095,-79.1991875,Fried Chicken Joint
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Bela,43.802742,-79.197025,
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Jean's Spot,43.806015,-79.183259,
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Tim Hortons,43.801999861382,-79.1981689631939,Coffee Shop
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Cascades (Metro Waste),43.807494027880885,-79.19507299669937,Building
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Discount Tile,43.80691,-79.201656,
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Frito Lay,43.803844261894156,-79.1948409549751,Factory
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Rouge Park - Woodland Trail,43.80178186082014,-79.20042735921538,Trail
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Scarborough Distribution Centre,43.807525584182095,-79.1976892911559,Factory
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Wendy's,43.80744841934756,-79.19905558052072,Fast Food Restaurant
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Wood Bison Paddock,43.81173177207037,-79.2007083234753,Zoo Exhibit
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Auto Camping,43.807896,-79.199733,Automotive Shop
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,B.K. Sethi,43.802158,-79.198017,Office
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Obsidian Mortgage Corporation & Financial Services,43.80109968574985,-79.19413089752196,Bank
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Nash Automotive,43.8045,-79.196,Automotive Shop
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Mario's Barber,43.80131,-79.200646,Salon / Barbershop
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,U-Haul Neighborhood Dealer,43.80162346186158,-79.19600894848571,Storage Facility
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Hydrografica,43.80455318899776,-79.19955968856812,Design Studio
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,ABG,43.805559,-79.195632,Factory
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,250 Brenyon Way,43.797984902425135,-79.19800331909124,Residential Building (Apartment / Condo)
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Fortress Technology Inc.,43.80167719599126,-79.19412984131239,Coworking Space
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Tim Hortons / Esso,43.801659656390676,-79.1991327091692,Coffee Shop
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Pleasant Corner,43.80116435360954,-79.20025373002397,Shopping Mall
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Mr Jerk,43.801262219554275,-79.19975818333775,African Restaurant
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,TTC Bus 38 Highland Creek,43.78416998667666,-79.19777870178223,Bus Line
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,Royal Canadian Legion,43.78253332838298,-79.16308473261682,Bar
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,John's Sushi Bistro,43.772393,-79.168524,
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,Jenny's Nail Studio,43.783962,-79.158833,Nail Salon
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,St. Dunstan Of Canterbury Church,43.78411963961499,-79.16481971740723,Church
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,Wine Kitz,43.78361229378082,-79.1696047782898,Winery
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,BOSS Fitness,43.794778408419496,-79.15850558959409,Gym / Fitness Center
